행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
둔덕동,5476.0,1468.0,139144.0,601787.0,19831.0,0.2680788897005113,25.409788166544924,109.895361577794,3.6214390065741418
득량면,1936.0,740.0,50884.0,287420.0,29118.0,0.3822314049586777,26.28305785123967,148.46074380165288,15.040289256198347
마량면,1469.0,686.0,24223.0,186237.0,17552.0,0.46698434309053777,16.489448604492853,126.7780803267529,11.948264125255276
마산면,3225.0,1150.0,70125.0,389296.0,20593.0,0.35658914728682173,21.74418604651163,120.71193798449612,6.385426356589147
만덕동,7624.0,1460.0,226342.0,1475716.0,114942.0,0.19150052465897166,29.688090241343126,193.56190975865687,15.076337880377755
만호동,4810.0,1914.0,107562.0,694884.0,33214.0,0.39792099792099794,22.36216216216216,144.46652806652807,6.905197505197505
망운면,1816.0,622.0,46461.0,308095.0,-7119.0,0.34251101321585903,25.584251101321588,169.6558370044053,-3.9201541850220263
매곡동,3877.0,1142.0,109183.0,337202.0,27841.0,0.2945576476657209,28.16172298168687,86.97498065514573,7.181067835955636
목사동면,399.0,222.0,9694.0,65286.0,3810.0,0.556390977443609,24.295739348370926,163.62406015037595,9.548872180451127
목원동,9889.0,3486.0,219614.0,1550508.0,140364.0,0.35251289311356054,22.20790777631712,156.79118212154918,14.193952876933967
몽탄면,988.0,426.0,21710.0,139183.0,6908.0,0.4311740890688259,21.973684210526315,140.8734817813765,6.991902834008097
묘도동,305.0,132.0,8202.0,60071.0,8918.0,0.43278688524590164,26.891803278688524,196.95409836065573,29.23934426229508
묘량면,575.0,230.0,11172.0,52463.0,4038.0,0.4,19.429565217391303,91.24,7.022608695652174
무안읍,14163.0,3762.0,453983.0,2419923.0,86204.0,0.2656216903198475,32.054155193108805,170.86231730565558,6.086563581162183
무정면,2056.0,480.0,55362.0,419402.0,37079.0,0.23346303501945526,26.92704280155642,203.98929961089493,18.03453307392996
문내면,2553.0,1184.0,36939.0,339082.0,50289.0,0.463768115942029,14.46886016451234,132.81707794751273,19.698002350176264
문덕면,344.0,134.0,8229.0,29287.0,1574.0,0.38953488372093026,23.921511627906977,85.13662790697674,4.575581395348837
문수동,10901.0,3490.0,257856.0,1419311.0,95943.0,0.32015411430144025,23.65434363819833,130.2000733877626,8.801302632785983
문척면,418.0,168.0,8596.0,30380.0,3690.0,0.4019138755980861,20.564593301435405,72.67942583732058,8.82775119617225
문평면,2497.0,454.0,91535.0,2059248.0,374848.0,0.18181818181818182,36.65798958750501,824.6888265919102,150.11934321185421
미력면,1601.0,250.0,44509.0,484090.0,31707.0,0.1561524047470331,27.800749531542785,302.367270455965,19.804497189256715
미암면,1136.0,582.0,19977.0,180778.0,12348.0,0.5123239436619719,17.58538732394366,159.1355633802817,10.869718309859154
미평동,7577.0,2014.0,150148.0,893198.0,41716.0,0.26580440807707534,19.816286129074832,117.88280322027188,5.505609080110862
반남면,823.0,262.0,21153.0,183417.0,25882.0,0.3183475091130012,25.702308626974485,222.86391251518833,31.44835965978129
백수읍,3218.0,742.0,56322.0,386119.0,40858.0,0.23057799875699192,17.50217526413922,119.98725916718459,12.696706028589185
백아면,822.0,280.0,19179.0,88079.0,733.0,0.340632603406326,23.33211678832117,107.15206812652067,0.8917274939172749
벌교읍,10243.0,3596.0,187801.0,1174532.0,88653.0,0.351069022747242,18.3345699502099,114.6667968368642,8.654983891438055
법성면,6015.0,1976.0,75774.0,782795.0,65706.0,0.3285120532003325,12.597506234413965,130.1404821280133,10.923690773067332
별량면,3774.0,1108.0,94482.0,630253.0,39268.0,0.29358770535241124,25.034976152623212,166.99867514573396,10.404875463698993
병영면,777.0,330.0,17185.0,71252.0,7473.0,0.4247104247104247,22.117117117117118,91.7014157014157,9.617760617760618
보길면,927.0,364.0,16745.0,72482.0,3704.0,0.3926645091693635,18.063646170442286,78.1898597626753,3.995685005393743
보성읍,11378.0,3196.0,357450.0,2607020.0,240002.0,0.2808929513095447,31.415890314642294,229.12814202847602,21.09351379855862
복내면,931.0,282.0,24058.0,111032.0,7888.0,0.3029001074113856,25.841031149301827,119.26100966702471,8.472610096670246
봉강면,1458.0,472.0,30328.0,118452.0,9846.0,0.32373113854595337,20.801097393689986,81.24279835390946,6.753086419753086
봉래면,1129.0,442.0,21805.0,133390.0,8835.0,0.39149689991142606,19.313551815766164,118.14880425155005,7.825509300265722
봉산면,2180.0,806.0,51237.0,337101.0,24282.0,0.3697247706422018,23.50321100917431,154.6334862385321,11.138532110091743
